      Omega           W               beta
       0.0000000       0.0000000      0.25000000

                       Mass            Rp              L               Teff
INTERPOLATION:         14.600000       5.7200000       22630.596       29624.634
INTERPOLATION:         12.500000       5.2400000       14255.419       27587.478
INTERPOLATION:         10.800000       4.8300000       9029.6933       25630.731
INTERPOLATION:         9.6000000       4.5200000       6208.2186       24106.547
INTERPOLATION:         8.6000000       4.2500000       4332.7836       22723.436
INTERPOLATION:         7.7000000       3.9900000       2976.7612       21357.627
INTERPOLATION:         6.4000000       3.5900000       1568.3356       19186.997
INTERPOLATION:         5.5000000       3.2900000       917.24848       17520.359
INTERPOLATION:         4.8000000       3.0500000       563.11617       16117.438
INTERPOLATION:         4.2000000       2.8300000       344.12641       14788.087
INTERPOLATION:         3.8000000       2.6800000       236.48250       13842.132
INTERPOLATION:         3.4000000       2.5200000       154.87489       12840.118
