      Omega           W               beta
      0.99817375      0.94868351      0.14644071

                       Mass            Rp              L               Teff
EXTRAPOLATION:         14.600000       5.6333807       21353.022       26844.590
EXTRAPOLATION:         12.500000       5.0872636       13213.356       25064.107
EXTRAPOLATION:         10.800000       4.8877555       8871.8970       23170.193
EXTRAPOLATION:         9.6000000       4.6542171       6184.6468       21776.116
EXTRAPOLATION:         8.6000000       4.1383427       4056.1767       20727.958
EXTRAPOLATION:         7.7000000       3.9906329       2869.2872       19369.008
EXTRAPOLATION:         6.4000000       3.6794203       1547.6142       17329.646
EXTRAPOLATION:         5.5000000       3.3991930       920.37087       15797.658
EXTRAPOLATION:         4.8000000       3.0735597       556.27811       14582.049
EXTRAPOLATION:         4.2000000       2.7988910       335.87342       13438.336
EXTRAPOLATION:         3.8000000       2.7272102       234.26580       12557.624
EXTRAPOLATION:         3.4000000       2.5071172       153.46539       11639.641
