      Omega           W               beta
       0.0000000       0.0000000      0.25000000

                       Mass            Rp              L               Teff
INTERPOLATION:         14.600000       9.8700000       34248.220       25017.102
INTERPOLATION:         12.500000       8.9100000       21681.883       23482.212
INTERPOLATION:         10.800000       8.0500000       13640.428       22007.920
INTERPOLATION:         9.6000000       7.4300000       9314.7242       20820.157
INTERPOLATION:         8.6000000       6.9000000       6441.7372       19701.260
INTERPOLATION:         7.7000000       6.4100000       4367.8730       18546.630
INTERPOLATION:         6.4000000       5.7100000       2248.7853       16642.057
INTERPOLATION:         5.5000000       5.2800000       1296.3611       15078.287
INTERPOLATION:         4.8000000       4.9000000       780.99634       13802.667
INTERPOLATION:         4.2000000       4.5700000       467.86009       12572.655
INTERPOLATION:         3.8000000       4.3300000       315.96793       11704.019
INTERPOLATION:         3.4000000       4.0800000       202.44171       10790.237
