      Omega           W               beta
      0.71213593      0.44721365      0.22067365

                       Mass            Rp              L               Teff
INTERPOLATION:         14.600000       4.4492056       16291.561       29997.040
INTERPOLATION:         12.500000       4.0600000       10283.432       27969.273
INTERPOLATION:         10.800000       3.7500000       6536.9113       26000.052
INTERPOLATION:         9.6000000       3.5200000       4509.1334       24459.700
INTERPOLATION:         8.6000000       3.3100000       3166.8262       23080.423
INTERPOLATION:         7.7000000       3.1100000       2199.5951       21741.496
INTERPOLATION:         6.4000000       2.8000000       1177.6159       19605.725
INTERPOLATION:         5.5000000       2.5623197       696.51472       17959.001
INTERPOLATION:         4.8000000       2.3800000       432.49741       16554.722
INTERPOLATION:         4.2000000       2.2200000       268.11494       15192.142
INTERPOLATION:         3.8000000       2.1100000       185.97341       14232.103
INTERPOLATION:         3.4000000       1.9800000       123.15467       13268.613
